tiempo_s,carga_kN,desplazamiento_mm,esfuerzo_MPa,deformacion_unitaria
0.0,0.0,0.0,0.0,0.0
5.0,25.0,0.042,1.4147106052612919,0.00014000000000000001
10.0,50.0,0.085,2.8294212105225838,0.00028333333333333335
15.0,75.0,0.129,4.244131815783875,0.00043
20.0,100.0,0.174,5.6588424210451675,0.00058
25.0,125.0,0.22,7.073553026306459,0.0007333333333333333
30.0,150.0,0.268,8.48826363156775,0.0008933333333333334
35.0,175.0,0.316,9.902974236829042,0.0010533333333333334
40.0,200.0,0.366,11.317684842090335,0.00122
45.0,225.0,0.417,12.732395447351626,0.00139
50.0,250.0,0.469,14.147106052612918,0.0015633333333333332
55.0,275.0,0.522,15.56181665787421,0.00174
60.0,300.0,0.576,16.9765272631355,0.0019199999999999998
65.0,325.0,0.631,18.391237868396793,0.0021033333333333334
70.0,350.0,0.688,19.805948473658084,0.002293333333333333
75.0,375.0,0.745,21.22065907891938,0.0024833333333333335
80.0,400.0,0.804,22.63536968418067,0.00268
85.0,425.0,0.864,24.05008028944196,0.00288
90.0,450.0,0.925,25.464790894703253,0.0030833333333333333
